pmid,title,decision,reason
34660113,Diagnostic Accuracy of Point-of-Care Tests Measuring Glycosylated Haemoglobin (HbA1c) for Glycemic Control: A Field Study in India.,INCLUDE,"The study estimates the diagnostic accuracy of point-of-care tests for HbA1c and reports diagnostic performance metrics such as sensitivity, specificity, and area under the receiver operating curve."
33310798,Protocol on a multicentre statistical and economic modelling study of risk-based stratified and personalised screening for diabetes and its complications in India (SMART India).,EXCLUDE,"The study is a protocol for a multicentre statistical and economic modelling study, but does not report primary data or diagnostic performance metrics for point-of-care HbA1c testing."
33019370,iQuant Auto: Automated Rapid Test Platform for Immunodiagnostics.,EXCLUDE,"The study does not report diagnostic performance metrics such as sensitivity, specificity, or correlation for point-of-care HbA1c testing."
32733964,Performance of Point-of-Care Testing Compared with the Standard Laboratory Diagnostic Test in the Measurement of HbA1c in Indonesian Diabetic and Nondiabetic Subjects.,INCLUDE,The study evaluates the diagnostic accuracy of point-of-care HbA1c testing and reports sensitivity and specificity metrics.
31175054,HbA1c-testing: Evaluation of two point-of-care analysers.,INCLUDE,The study evaluates the accuracy of two point-of-care HbA1c analysers and reports correlation and bias with respect to a reference method.
30943787,Accuracy of a Point-of-Care Hemoglobin A1c Assay.,NEEDS MANUAL REVIEW,FLAGGED FOR REVIEW: Low keyword relevance count (2 matches).
30897963,The Need for Accuracy in Hemoglobin A1c Proficiency Testing: Why the Proposed CLIA Rule of 2019 Is a Step Backward.,EXCLUDE,The study does not report primary data on the diagnostic accuracy of point-of-care HbA1c testing and appears to be an opinion or commentary piece.
30871659,Point of care HbA1c level for diabetes mellitus management and its accuracy among tuberculosis patients: a study in four countries.,NEEDS MANUAL REVIEW,FLAGGED FOR REVIEW: Low keyword relevance count (2 matches).
30854894,Accuracy and Precision of a Point-of-Care HbA1c Test.,NEEDS MANUAL REVIEW,FLAGGED FOR REVIEW: Low keyword relevance count (2 matches).
30703147,"Glycated haemoglobin threshold for dysglycaemia screening, and application to metabolic syndrome diagnosis in HIV-infected Africans.",INCLUDE,The study assesses the diagnostic accuracy of HbA1c for dysglycaemia screening and reports sensitivity and specificity metrics.
30545795,HbA1c screening in the community: Lessons for safety and quality management of a point of care programme.,INCLUDE,The study describes quality management processes for point-of-care HbA1c testing and reports on the comparison of point-of-care results with laboratory results.
30455529,"Accuracy of diabetes screening methods used for people with tuberculosis, Indonesia, Peru, Romania, South Africa.",INCLUDE,"The study evaluates the performance of diagnostic tools for diabetes mellitus, including point-of-care HbA1c, and reports diagnostic accuracy metrics."
30236830,Multicenter assessment of a hemoglobin A1c point-of-care device for diagnosis of diabetes mellitus.,INCLUDE,The study evaluates the analytical performance of a point-of-care HbA1c device and reports diagnostic performance metrics such as precision and bias.
30232094,Targeting glucose control in preterm infants: pilot studies of continuous glucose monitoring.,EXCLUDE,The study focuses on continuous glucose monitoring in preterm infants and does not evaluate point-of-care HbA1c testing diagnostic accuracy.
29863029,A Rapid Test Strip for Diagnosing Glycosylated Hemoglobin (HbA1c) Based on Fluorescent Affinity Immunochromatography.,INCLUDE,The study develops and evaluates a rapid test strip for diagnosing HbA1c based on fluorescent affinity immunochromatography and reports diagnostic performance metrics such as linearity and accuracy.
29726123,Label-free spectrochemical probe for determination of hemoglobin glycation in clinical blood samples.,INCLUDE,The study evaluates a label-free spectrochemical probe for determining HbA1c in clinical blood samples and reports diagnostic performance metrics such as accuracy and classification.
29468638,Accuracy of point-of-care HbA1c testing in pregnant women.,INCLUDE,The study assesses the accuracy of a point-of-care HbA1c testing device in pregnant women and reports diagnostic performance metrics such as bias and limits of agreement.
29406816,Accuracy and the Proper Use of the Point-of-Care Analysis in Hemoglobin A1C Measurement.,INCLUDE,The study evaluates the accuracy and proper use of point-of-care analysis in HbA1c measurement and reports diagnostic performance metrics such as sensitivity and specificity.
29262979,"Good correlation between the Afinion AS100 analyser and the ABX Pentra 400 analyser for the measurement of glycosylated haemoglobin and lipid levels in older adults in Durban, South Africa.",NEEDS MANUAL REVIEW,FLAGGED FOR REVIEW: Low keyword relevance count (2 matches).
28371852,Improvement in the Quality of HbA1c Determination by Using Commutable Specimens With IFCC-Assigned Values.,EXCLUDE,"The study focuses on improving the quality of HbA1c determination using commutable specimens with IFCC-assigned values, but does not evaluate point-of-care HbA1c testing diagnostic accuracy in a clinical setting."
28220976,Evaluation of a new hemoglobin A1c analyzer for point-of-care testing.,INCLUDE,"The study evaluates a new HbA1c analyzer for point-of-care testing and reports diagnostic performance metrics such as accuracy, precision, and linearity."
27658148,Performance of point-of-care HbA1c test devices: implications for use in clinical practice - a systematic review and meta-analysis.,EXCLUDE,"The study is a systematic review and meta-analysis of point-of-care HbA1c test devices, which does not contain primary data and is excluded according to the exclusion criteria."
27532888,Evaluation of point-of-care maternal glucose measurements for the diagnosis of gestational diabetes mellitus.,EXCLUDE,"The study evaluates point-of-care glucose testing, not HbA1c testing."
27517956,Accuracy of Continuous Glucose Monitoring (CGM) during Continuous and High-Intensity Interval Exercise in Patients with Type 1 Diabetes Mellitus.,EXCLUDE,"The study evaluates continuous glucose monitoring, not point-of-care HbA1c testing."
28325018,ImQuant - An image based fluorescence reader for quantitative lateral flow immunoassays.,EXCLUDE,"The study presents a new device for quantitative lateral flow immunoassays, but does not report diagnostic performance metrics for HbA1c testing."
26531840,Accuracy of three hemoglobin A1c point-of-care systems for glucose monitoring in patients with diabetes mellitus.,INCLUDE,The study compares the analytical performances of three point-of-care HbA1c analyzers to high pressure liquid chromatography and reports diagnostic performance metrics.
25885487,Assessment of a glycated hemoglobin point-of-care analyzer (A1CNow+) in comparison with an immunoturbidimetric method: a diagnostic accuracy study.,INCLUDE,The study assesses the performance of the A1CNow+ point-of-care device for HbA1c measurement and reports diagnostic performance metrics such as sensitivity and specificity.
25835152,Evaluation of a HbA1c point-of-care analyzer.,INCLUDE,The study evaluates the B-Analyst point-of-care analyzer for HbA1c measurement and reports diagnostic performance metrics such as correlation coefficient and coefficient of variation.
25818473,Performance evaluation of SD A1cCare as a HbA1c analyzer for point-of-care testing.,INCLUDE,"The study evaluates the analytical performance of the SD A1cCare point-of-care HbA1c analyzer and reports diagnostic performance metrics such as precision, linearity, and correlation with a reference method."
24697111,Analytical performance of the Axis-Shield Afinion for hemoglobin A1c measurement: impact of lot number.,INCLUDE,The study evaluates the analytical performance of the Axis-Shield Afinion analyzer for HbA1c measurement and reports diagnostic performance metrics such as imprecision and correlation with a reference method.
24180327,Accuracy of subcutaneous continuous glucose monitoring in critically ill adults: improved sensor performance with enhanced calibrations.,EXCLUDE,"The study evaluates the accuracy of subcutaneous continuous glucose monitoring, not point-of-care HbA1c testing."
22538151,Analysis of the accuracy and precision of the Axis-Shield Afinion hemoglobin A1c measurement device.,INCLUDE,The study analyzes the accuracy and precision of the Axis-Shield Afinion hemoglobin A1c measurement device and reports diagnostic performance metrics.
22538150,Accuracy and precision of the Axis-Shield Afinion hemoglobin A1c measurement device.,INCLUDE,The study evaluates the accuracy and precision of a point-of-care HbA1c measurement device in humans and reports diagnostic performance metrics such as coefficient of variation and mean differences.
22309477,Discrepancies between reported self-monitored blood glucose results and point-of-care hemoglobin A1c in children with diabetes: lessons to be learned.,EXCLUDE,"The study is a case series that does not report diagnostic performance metrics, but rather describes discrepancies between point-of-care HbA1c results and self-monitored blood glucose records."
21474403,HbA(1c) values for defining diabetes and impaired fasting glucose in Asian Indians.,EXCLUDE,"The study determines HbA1c cut-points for diabetes and impaired fasting glucose, but does not evaluate the diagnostic accuracy of a point-of-care HbA1c test."
21129347,Analysis of point-of-care and over-the-counter testing methods for hemoglobin A1c: how good do they need to be?,EXCLUDE,"The study is an editorial that discusses the importance of accuracy and precision in HbA1c measurement, but does not report primary data on the diagnostic accuracy of a point-of-care HbA1c test."
21129346,Evaluation of an over-the-counter glycated hemoglobin (A1C) test kit.,INCLUDE,"The study evaluates the performance of an over-the-counter HbA1c test kit in humans and reports diagnostic performance metrics such as accuracy, precision, and correlation with laboratory results."
19689171,Evaluation of a training program for device operators in the Australian Government's Point of Care Testing in General Practice Trial: issues and implications for rural and remote practices.,EXCLUDE,"The study evaluates a training program for device operators, but does not report diagnostic performance metrics of a point-of-care HbA1c test."
19587262,Comparison of point of care and laboratory HbA1c analysis: a MetroNet study.,INCLUDE,"The study compares point-of-care and laboratory HbA1c analysis in humans and reports diagnostic performance metrics such as sensitivity, specificity, and correlation."
18343780,Analytic bias among certified methods for the measurement of hemoglobin A1c: a cause for concern?,INCLUDE,"The study evaluates the analytic bias among certified methods for HbA1c measurement, including point-of-care methods, and reports diagnostic performance metrics such as correlation and mean differences."
15896181,Point-of-care testing of HbA1c and blood glucose in a remote Aboriginal Australian community.,INCLUDE,The study assesses the accuracy of point-of-care measurements of HbA1c in a remote Aboriginal Australian community and reports diagnostic performance metrics such as correlation and mean differences.
15840733,Comparison of point-of-care HbA1c test versus standardized laboratory testing.,NEEDS MANUAL REVIEW,FLAGGED FOR REVIEW: Low keyword relevance count (2 matches).
14712621,Glycohemoglobin analyzers.,EXCLUDE,"The article does not report specific diagnostic performance metrics such as sensitivity, specificity, or AUC, but rather focuses on evaluating the accuracy, precision, and ease of use of various GHb analyzers."
11469613,A miniaturized self-contained single-use disposable quantitatitve test for hemoglobin A1c in blood at the point of care.,INCLUDE,"The article evaluates the diagnostic accuracy of a point-of-care HbA1c test, reporting correlation and repeatability metrics, making it relevant to the systematic review."
